Id,label
0_001,0
0_002,0
0_003,0
0_004,0
0_005,0
0_006,0
0_007,0
0_008,0
0_009,0
0_010,0
0_011,0
0_012,0
0_013,0
0_014,0
0_015,0
0_016,0
0_017,0
0_018,0
0_019,0
0_020,0
0_021,0
0_022,0
0_023,0
0_024,0
0_025,0
0_026,0
0_027,0
0_028,0
0_029,0
0_030,0
0_031,0
0_032,0
0_033,0
0_034,0
0_035,0
0_036,0
0_037,0
0_038,0
0_039,0
0_040,0
0_041,0
0_042,0
0_043,0
0_044,0
0_045,0
0_046,0
0_047,0
0_048,0
0_049,0
0_050,0
0_051,0
0_052,0
0_053,0
0_054,0
0_055,0
0_056,0
0_057,0
0_058,0
0_059,0
0_060,0
0_061,0
0_062,0
0_063,0
0_064,0
0_065,0
0_066,0
0_067,0
0_068,0
0_069,0
0_070,0
0_071,0
0_072,0
0_073,0
0_074,0
0_075,0
0_076,0
0_077,0
0_078,0
0_079,0
0_080,0
1_001,1
1_002,1
1_003,1
1_004,1
1_005,1
1_006,1
1_007,1
1_008,1
1_009,1
1_010,1
1_011,1
1_012,1
1_013,1
1_014,1
1_015,1
1_016,1
1_017,1
1_018,1
1_019,1
1_020,1
1_021,1
1_022,1
1_023,1
1_024,1
1_025,1
1_026,1
1_027,1
1_028,1
1_029,1
1_030,1
1_031,1
1_032,1
1_033,1
1_034,1
1_035,1
1_036,1
1_037,1
1_038,1
1_039,1
1_040,1
1_041,1
1_042,1
1_043,1
1_044,1
1_045,1
1_046,1
1_047,1
1_048,1
1_049,1
1_050,1
1_051,1
1_052,1
1_053,1
1_054,1
1_055,1
1_056,1
1_057,1
1_058,1
1_059,1
1_060,1
1_061,1
1_062,1
1_063,1
1_064,1
1_065,1
1_066,1
1_067,1
1_068,1
1_069,1
1_070,1
1_071,1
1_072,1
1_073,1
1_074,1
1_075,1
1_076,1
1_077,1
1_078,1
1_079,1
1_080,1
